ts	phase	decision	why	evidence	result
2026-09-15T07:05:44Z	frame	ran npm test before touching anything, found it red	the brief said it passes, so the baseline had to be checked not assumed	scratchpad/baseline.log	3 failed, 1178 passed, 167 skipped
2026-09-15T07:05:44Z	frame	traced all 3 failures to c2c8720 adding an ADA35 ungraded-certify guard	the technique suites predate it and park() posts grade inline with certify	db/post.sql:983, tests/ledger/lifecycle.sql:134	34 of 38 state-transition tests were skipping, not failing
2026-09-15T07:05:44Z	U0	moved park() and the model to the two-step grade then certify flow	tests/ledger/lifecycle.sql already asserts that design, so the suites had drifted, not the system	commit d6ce144	all green, 34 dark tests running again
2026-09-15T07:05:44Z	U1	enforced app.lifecycle_edge.actor_role in ledger.post via one helper at 3 call sites	the column is the domain model already, so read it rather than add branches	db/post.sql app.assert_edge_actor	ADA36 proven by hand against a seeded db
2026-09-15T07:05:44Z	U1	dropped the ADA37 same-person guard before committing it	a user has one immutable role and submit/approve name different ones, so it could never fire	db/post.sql:318	guard removed, comment kept
2026-09-15T07:05:44Z	gate	found npm test was cloning stale SQL templates	template names were fixed strings and built only when missing, so db/ edits were never under test	commit a5b8007	name now carries a digest of its sources
2026-09-15T07:06:29Z	U1	delegated the 4 technique suites to one agent each, disjoint files	the role rule broke fixture setup in all four and the files do not overlap	tests/techniques/*.test.ts	1 of 4 back, diff reviewed and accepted
2026-09-15T07:06:29Z	U1	equivalence-boundary was also going dark, 59 skipped from a throwing beforeAll	same failure mode as U0, a suite reports a broken beforeAll as skipped not failed	tests/techniques/equivalence-boundary.test.ts	59 skipped down to 0, 9 expected fail
2026-09-15T07:11:54Z	U1	drove the full 39-step runbook through the real UI with the role rule on	the demo is the thing most at risk from a rule that refuses actors	scratchpad/runbook.log	runbook complete in 60s, all 39 steps
2026-09-15T07:11:54Z	found	npm run verify:demo is broken on this branch, and was before I started	demo.mjs scrapes the first TP-2026-nnnn in the page body and the chrome CTA now supplies one	b1d9bad added the CTA, predates my commits	open, fixing in its own commit
2026-09-15T07:11:54Z	U1	narrowed the settlement CTA in next-action.ts to the edge table	it offered the checker a step the database now refuses, a third copy of the rule	src/core/next-action.ts sourceSettlementDue	520 core tests pass
2026-09-15T07:16:15Z	U1	reviewed and accepted the state-transitions diff	it rewrote the wrong-role test to assert the exact ADA36 for all five edges, stronger than before	tests/techniques/state-transitions.test.ts	35 passed, 4 expected fail, 0 skipped
2026-09-15T07:16:15Z	U1	reviewed and accepted the decision-tables diff, then tightened table 4 myself	table 4 passed the role gate only because anyActor happens to return the preparer	tests/techniques/decision-tables.test.ts	233 passed, 2 expected fail, 153 infeasible
2026-09-15T07:16:15Z	verify	fixed the pre-existing verify:demo break and the same latent one in the runbook	both scraped the first payable ref in the page body, which the chrome strip now supplies	commit 58cb5b6	verify:demo and verify:runbook both pass
2026-09-15T08:33:26Z	U2	refused settlement of a rejected payable with ADA37	the anchor was credited and debited its own face, so the obligation retired and nobody was paid	commit 7de11de	table 4 now keys on receipt_status, 62 feasible
2026-09-15T08:33:26Z	U3	enforced the price floor at place_bid and fixed a seed bid below its own ask	buy_now is already constrained by the schema, so the floor belongs where a bid enters	commit ddb4e5e	green, and two it.fails were closed-but-silent
2026-09-15T08:33:26Z	U4	unwound the whole listing's escrow rather than the settled asset's	the listing is cancelled whole, so escrow has to come back whole	commit 8c9ff1f	a listed series lot redeems
2026-09-15T08:33:26Z	U5	added a fourth deferred invariant, a receipt means something moved	the three existing ones cannot see a legless entry, it balances trivially	commit 66c5e28	top_up and self-transfer refused by name
2026-09-15T08:42:41Z	U6	guarded nine not-found and absent-field sites in one pass	one root cause, a comparison against a column that is NULL when the row was not found	db/post.sql	10 it.fails cases flipped, 2 agents updating the suites
2026-09-15T08:42:41Z	U8	fixed parseIsoDate, parseFilter, formatUnits, parseUnits and allocateProRata	all boundary parsers whose guard admitted a value it could not handle	src/core	properties 43 passed 0 expected fail
2026-09-15T08:42:41Z	U8	the round-trip property caught a bug in my own parseUnits fix	a repeated capture group keeps only its last repetition, so 1,000,000 parsed as 1000	src/core/money.ts GROUPED	rewritten to validate the shape then strip, 2000 runs clean
